approach,ALUTs,REGs,RAMs,DSPs,Fmax (MHz),Watts,Exec time min-max (ms)
static,85360,130000,418,11,287,0,536.792 - 538.125 (1x)
dynamic_1qsize,85791 (+431),129291 (-709),413 (-5),11 (+0),133 (-154),0,601.924 - 652.056 (0.8300000000000001-0.89x)
dynamic_no_forward_1qsize,85708 (+348),129181 (-819),413 (-5),11 (+0),138 (-149),0,580.813 - 651.423 (0.8300000000000001-0.92x)
dynamic_2qsize,86088 (+728),129485 (-515),413 (-5),11 (+0),135 (-152),0,435.185 - 476.869 (1.1300000000000001-1.23x)
dynamic_no_forward_2qsize,85901 (+541),129297 (-703),413 (-5),11 (+0),130 (-157),0,440.248 - 652.003 (0.8300000000000001-1.22x)
dynamic_4qsize,86843 (+1483),129952 (-48),413 (-5),11 (+0),112 (-175),0,301.819 - 574.601 (0.9400000000000001-1.78x)
dynamic_no_forward_4qsize,86449 (+1089),129602 (-398),413 (-5),11 (+0),135 (-152),0,260.57 - 651.513 (0.8300000000000001-2.06x)
dynamic_8qsize,88131 (+2771),131256 (+1256),413 (-5),11 (+0),107 (-180),0,306.129 - 601.241 (0.9-1.75x)
dynamic_no_forward_8qsize,87554 (+2194),130167 (+167),413 (-5),11 (+0),150 (-137),0,218.813 - 601.94 (0.89-2.45x)
dynamic_16qsize,90286 (+4926),133583 (+3583),413 (-5),11 (+0),113 (-174),0,289.964 - 569.351 (0.9500000000000001-1.85x)
dynamic_no_forward_16qsize,89377 (+4017),131198 (+1198),413 (-5),11 (+0),135 (-152),0,243.014 - 651.514 (0.8300000000000001-2.21x)
dynamic_32qsize,96105 (+10745),144790 (+14790),420 (+2),11 (+0),226 (-61),0,156.813 - 389.524 (1.3800000000000001-3.42x)
dynamic_no_forward_32qsize,92652 (+7292),133272 (+3272),413 (-5),11 (+0),126 (-161),0,260.228 - 680.49 (0.79-2.06x)
dynamic_64qsize,106739 (+21379),163288 (+33288),423 (+5),11 (+0),231 (-56),0,292.325 - 437.808 (1.23-1.84x)
dynamic_no_forward_64qsize,0 (-85360),0 (-130000),0 (-418),0 (-11),0 (-287),0,275.159 - 711.251 (0.76-1.95x)
