approach,ALUTs,REGs,RAMs,DSPs,Fmax (MHz),Watts,Exec time min-max (ms)
static,82486,126857,414,0,273,21.00537634408602,354.633 - 368.015 (1x)
dynamic_1qsize,63954 (-18532),119993 (-6864),493 (+79),0 (+0),154 (-119),21.022935779816518,422.206 - 468.025 (0.79-0.84x)
dynamic_no_forward_1qsize,63907 (-18579),119796 (-7061),493 (+79),0 (+0),145 (-128),21.0,467.835 - 497.508 (0.74-0.76x)
dynamic_2qsize,64546 (-17940),120165 (-6692),493 (+79),0 (+0),159 (-114),21.0,295.29 - 396.479 (0.93-1.2x)
dynamic_no_forward_2qsize,64277 (-18209),119994 (-6863),493 (+79),0 (+0),152 (-121),20.863636363636363,335.127 - 413.112 (0.89-1.06x)
dynamic_4qsize,65653 (-16833),120656 (-6201),493 (+79),0 (+0),94 (-179),20.53409090909091,333.252 - 417.925 (0.88-1.06x)
dynamic_no_forward_4qsize,64715 (-17771),120391 (-6466),493 (+79),0 (+0),149 (-124),21.0,295.053 - 307.602 (1.2-1.2x)
dynamic_8qsize,67466 (-15020),122061 (-4796),493 (+79),0 (+0),91 (-182),20.548387096774192,198.44 - 268.141 (1.37-1.79x)
dynamic_no_forward_8qsize,65869 (-16617),121119 (-5738),493 (+79),0 (+0),150 (-123),20.72222222222222,178.784 - 305.669 (1.2-1.98x)
dynamic_16qsize,71467 (-11019),125929 (-928),493 (+79),0 (+0),101 (-172),20.5397873466731,135.528 - 181.272 (2.03-2.62x)
dynamic_no_forward_16qsize,68878 (-13608),122623 (-4234),493 (+79),0 (+0),151 (-122),20.53703703703704,117.821 - 305.678 (1.2-3.01x)
dynamic_no_forward_32qsize,74205 (-8281),125507 (-1350),493 (+79),0 (+0),142 (-131),20.765432098765437,67.3792 - 307.827 (1.2-5.26x)
dynamic_no_forward_64qsize,84832 (+2346),131365 (+4508),493 (+79),0 (+0),151 (-122),21.0,41.3713 - 305.671 (1.2-8.57x)
