approach,ALUTs,REGs,RAMs,DSPs,Fmax (MHz),Watts,Exec time min-max (ms)
static,82431,126890,413,0,279,20.526315789473685,194.772 - 200.411 (1x)
dynamic_1qsize,65593 (-16838),122146 (-4744),498 (+85),0 (+0),149 (-130),20.5327868852459,225.379 - 241.487 (0.83-0.86x)
dynamic_no_forward_1qsize,65133 (-17298),121429 (-5461),498 (+85),0 (+0),149 (-130),20.5,226.597 - 236.851 (0.85-0.86x)
dynamic_2qsize,66155 (-16276),122814 (-4076),498 (+85),0 (+0),149 (-130),20.5,156.123 - 179.641 (1.12-1.25x)
dynamic_no_forward_2qsize,65424 (-17007),121792 (-5098),498 (+85),0 (+0),147 (-132),20.51063829787234,158.892 - 169.277 (1.18-1.23x)
dynamic_4qsize,67384 (-15047),124286 (-2604),498 (+85),0 (+0),107 (-172),20.40909090909091,159.363 - 194.662 (1.03-1.22x)
dynamic_no_forward_4qsize,66602 (-15829),123008 (-3882),498 (+85),0 (+0),148 (-131),20.5,144.812 - 159.689 (1.26-1.34x)
dynamic_8qsize,70016 (-12415),128226 (+1336),498 (+85),0 (+0),94 (-185),20.542857142857144,126.657 - 263.989 (0.76-1.54x)
dynamic_no_forward_8qsize,68271 (-14160),124559 (-2331),498 (+85),0 (+0),146 (-133),20.51086956521739,88.5048 - 165.837 (1.21-2.2x)
dynamic_16qsize,76690 (-5741),136199 (+9309),498 (+85),0 (+0),125 (-154),20.530927835051543,71.4628 - 372.611 (0.54-2.73x)
dynamic_no_forward_16qsize,71812 (-10619),128169 (+1279),498 (+85),0 (+0),139 (-140),20.565217391304348,58.4542 - 165.928 (1.21-3.33x)
dynamic_no_forward_32qsize,80280 (-2151),135947 (+9057),498 (+85),0 (+0),139 (-140),20.55434782608696,37.7802 - 166.851 (1.2-5.16x)
dynamic_no_forward_64qsize,94866 (+12435),148797 (+21907),498 (+85),0 (+0),114 (-165),20.55454545454545,27.6626 - 201.614 (0.99-7.04x)
