approach,ALUTs,REGs,RAMs,DSPs,Fmax (MHz),Watts,Exec time min-max (ms)
static,82431,126890,413,0,279,20.526315789473685,194.485 - 195.099 (1x)
dynamic_1qsize,64115 (-18316),120271 (-6619),498 (+85),0 (+0),141 (-138),20.5327868852459,366.975 - 367.286 (0.53-0.53x)
dynamic_no_forward_1qsize,64038 (-18393),120224 (-6666),498 (+85),0 (+0),145 (-134),20.5,356.646 - 357.744 (0.55-0.55x)
dynamic_2qsize,64396 (-18035),120459 (-6431),498 (+85),0 (+0),137 (-142),20.5,228.891 - 247.008 (0.79-0.85x)
dynamic_no_forward_2qsize,64216 (-18215),120292 (-6598),498 (+85),0 (+0),135 (-144),20.51063829787234,236.63 - 253.701 (0.77-0.8200000000000001x)
dynamic_4qsize,65090 (-17341),120947 (-5943),498 (+85),0 (+0),108 (-171),20.40909090909091,170.315 - 231.585 (0.84-1.1400000000000001x)
dynamic_no_forward_4qsize,64752 (-17679),120637 (-6253),498 (+85),0 (+0),138 (-141),20.5,174.715 - 189.309 (1.03-1.11x)
dynamic_8qsize,66405 (-16026),122252 (-4638),498 (+85),0 (+0),109 (-170),20.542857142857144,103.509 - 118.452 (1.6500000000000001-1.8800000000000001x)
dynamic_no_forward_8qsize,65861 (-16570),121226 (-5664),498 (+85),0 (+0),149 (-130),20.51086956521739,96.0763 - 165.803 (1.18-2.02x)
dynamic_16qsize,68604 (-13827),124654 (-2236),498 (+85),0 (+0),114 (-165),20.530927835051543,71.8161 - 91.115 (2.14-2.71x)
dynamic_no_forward_16qsize,67439 (-14992),122214 (-4676),498 (+85),0 (+0),137 (-142),20.565217391304348,67.8412 - 173.981 (1.12-2.87x)
dynamic_32qsize,74375 (-8056),135822 (+8932),505 (+92),0 (+0),226 (-53),0.0,158.279 - 158.293 (1.23-1.23x)
dynamic_no_forward_32qsize,70962 (-11469),124268 (-2622),498 (+85),0 (+0),129 (-150),20.55434782608696,44.3895 - 182.247 (1.07-4.38x)
dynamic_64qsize,84915 (+2484),154356 (+27466),508 (+95),0 (+0),229 (-50),0.0,296.138 - 296.36 (0.66-0.66x)
dynamic_no_forward_64qsize,82366 (-65),129085 (+2195),498 (+85),0 (+0),132 (-147),20.55454545454545,43.4593 - 182.135 (1.07-4.48x)
