approach,ALUTs,REGs,RAMs,DSPs,Fmax (MHz),Watts,Exec time min-max (ms)
static,64787,119020,465,0,281,0,587.81 - 716.156 (1x)
dynamic_1qsize,69106 (+4319),127108 (+8088),497 (+32),0 (+0),114 (-167),0,796.775 - 801.727 (0.74-0.89x)
dynamic_no_forward_1qsize,68722 (+3935),126221 (+7201),497 (+32),0 (+0),110 (-171),0,789.455 - 818.472 (0.74-0.87x)
dynamic_2qsize,71097 (+6310),128928 (+9908),499 (+34),0 (+0),96 (-185),0,867.106 - 885.622 (0.68-0.81x)
dynamic_no_forward_2qsize,69582 (+4795),126702 (+7682),497 (+32),0 (+0),100 (-181),0,867.096 - 1059.36 (0.68-0.68x)
dynamic_4qsize,73075 (+8288),131192 (+12172),499 (+34),0 (+0),95 (-186),0,919.894 - 950.599 (0.64-0.75x)
dynamic_no_forward_4qsize,70540 (+5753),127718 (+8698),497 (+32),0 (+0),95 (-186),0,899.43 - 1114.45 (0.64-0.65x)
dynamic_8qsize,77042 (+12255),136357 (+17337),499 (+34),0 (+0),101 (-180),0,1237.62 - 1257.2 (0.47000000000000003-0.5700000000000001x)
dynamic_no_forward_8qsize,73720 (+8933),129572 (+10552),497 (+32),0 (+0),89 (-192),0,971.67 - 1168.53 (0.6-0.61x)
dynamic_16qsize,88527 (+23740),150265 (+31245),499 (+34),0 (+0),112 (-169),0,2058.98 - 2084.69 (0.29-0.34x)
dynamic_no_forward_16qsize,78364 (+13577),134988 (+15968),497 (+32),0 (+0),79 (-202),0,1112.66 - 1300.64 (0.53-0.55x)
dynamic_no_forward_32qsize,92446 (+27659),142695 (+23675),497 (+32),0 (+0),71 (-210),0,1170.58 - 1436.11 (0.5-0.5x)
dynamic_no_forward_64qsize,109841 (+45054),161890 (+42870),497 (+32),0 (+0),67 (-214),0,1295.56 - 1532.89 (0.45-0.47000000000000003x)
