approach,ALUTs,REGs,RAMs,DSPs,Fmax (MHz),Watts,Exec time min-max (ms)
static,64787,119020,465,0,281,0,597.515 - 713.237 (1x)
dynamic_1qsize,68378 (+3591),128170 (+9150),501 (+36),0 (+0),143 (-138),0,749.421 - 823.067 (0.8-0.87x)
dynamic_no_forward_1qsize,70784 (+5997),130682 (+11662),504 (+39),0 (+0),219 (-62),0,339.531 - 478.861 (1.49-1.76x)
dynamic_2qsize,68814 (+4027),128393 (+9373),501 (+36),0 (+0),136 (-145),0,708.036 - 718.167 (0.84-0.99x)
dynamic_no_forward_2qsize,71402 (+6615),131733 (+12713),504 (+39),0 (+0),135 (-146),0,487.752 - 674.828 (1.06-1.23x)
dynamic_4qsize,69716 (+4929),129017 (+9997),501 (+36),0 (+0),104 (-177),0,901.28 - 919.847 (0.66-0.78x)
dynamic_no_forward_4qsize,72707 (+7920),132879 (+13859),504 (+39),0 (+0),147 (-134),0,457.27 - 617.535 (1.1500000000000001-1.31x)
dynamic_8qsize,71614 (+6827),130071 (+11051),501 (+36),0 (+0),103 (-178),0,708.522 - 708.752 (0.84-1.01x)
dynamic_no_forward_8qsize,75096 (+10309),134409 (+15389),504 (+39),0 (+0),151 (-130),0,457.264 - 617.738 (1.1500000000000001-1.31x)
dynamic_16qsize,74661 (+9874),132465 (+13445),501 (+36),0 (+0),111 (-170),0,707.244 - 709.359 (0.84-1.01x)
dynamic_no_forward_16qsize,80426 (+15639),138506 (+19486),504 (+39),0 (+0),145 (-136),0,457.28 - 628.644 (1.1300000000000001-1.31x)
dynamic_32qsize,80333 (+15546),146107 (+27087),507 (+42),0 (+0),250 (-31),0,792.059 - 850.12 (0.75-0.84x)
dynamic_no_forward_32qsize,90580 (+25793),146436 (+27416),504 (+39),0 (+0),135 (-146),0,487.754 - 685.583 (1.04-1.23x)
dynamic_64qsize,92797 (+28010),167365 (+48345),508 (+43),0 (+0),259 (-22),0,1101.42 - 1178.98 (0.54-0.6x)
dynamic_no_forward_64qsize,113628 (+48841),164376 (+45356),504 (+39),0 (+0),126 (-155),0,520.104 - 716.382 (1.0-1.1500000000000001x)
