approach,ALUTs,REGs,RAMs,DSPs,Fmax (MHz),Watts,Exec time min-max (ms)
static,62147,115523,529,4,283,21.0,63.8638 - 64.1096 (1x)
dynamic_1qsize,70303 (+8156),129608 (+14085),511 (-18),6 (+2),156 (-127),20.525316455696203,78.7083 - 79.5047 (0.81-0.81x)
dynamic_no_forward_1qsize,70108 (+7961),129111 (+13588),511 (-18),6 (+2),152 (-131),20.51875,80.3919 - 81.1595 (0.79-0.79x)
dynamic_2qsize,71526 (+9379),130755 (+15232),511 (-18),6 (+2),150 (-133),20.51388888888889,69.8844 - 69.9967 (0.91-0.92x)
dynamic_no_forward_2qsize,70362 (+8215),129506 (+13983),511 (-18),6 (+2),147 (-136),20.51388888888889,68.7098 - 70.0876 (0.91-0.93x)
dynamic_4qsize,73121 (+10974),132677 (+17154),511 (-18),6 (+2),111 (-172),20.51818181818182,54.1899 - 68.352 (0.94-1.18x)
dynamic_no_forward_4qsize,71343 (+9196),130423 (+14900),511 (-18),6 (+2),144 (-139),20.515625,50.2573 - 62.9212 (1.02-1.27x)
dynamic_8qsize,76515 (+14368),137086 (+21563),511 (-18),6 (+2),113 (-170),20.52173913043478,39.8066 - 44.7281 (1.43-1.6x)
dynamic_no_forward_8qsize,73203 (+11056),132206 (+16683),511 (-18),6 (+2),140 (-143),20.515384615384612,31.6158 - 64.0292 (1.0-2.02x)
dynamic_16qsize,84635 (+22488),146721 (+31198),511 (-18),6 (+2),112 (-171),20.516393442622952,26.6786 - 59.2831 (1.08-2.39x)
dynamic_no_forward_16qsize,77102 (+14955),135774 (+20251),511 (-18),6 (+2),135 (-148),20.514705882352946,19.9895 - 66.6793 (0.96-3.19x)
dynamic_no_forward_32qsize,86216 (+24069),143530 (+28007),511 (-18),6 (+2),139 (-144),20.51492537313433,12.3761 - 66.0559 (0.97-5.16x)
dynamic_no_forward_64qsize,101176 (+39029),156117 (+40594),511 (-18),6 (+2),114 (-169),20.51315789473684,8.81984 - 74.9333 (0.86-7.24x)
