approach,ALUTs,REGs,RAMs,DSPs,Fmax (MHz),Watts,Exec time min-max (ms)
static,62147,115523,529,4,283,21.0,63.8216 - 63.8668 (1x)
dynamic_1qsize,68529 (+6382),127221 (+11698),511 (-18),6 (+2),144 (-139),20.525316455696203,83.6372 - 83.7715 (0.76-0.76x)
dynamic_no_forward_1qsize,68444 (+6297),127138 (+11615),511 (-18),6 (+2),143 (-140),20.51875,83.7826 - 83.8858 (0.76-0.76x)
dynamic_2qsize,69046 (+6899),127383 (+11860),511 (-18),6 (+2),138 (-145),20.51388888888889,74.2285 - 74.4329 (0.86-0.86x)
dynamic_no_forward_2qsize,68673 (+6526),127279 (+11756),511 (-18),6 (+2),137 (-146),20.51388888888889,75.3774 - 75.6245 (0.84-0.85x)
dynamic_4qsize,70092 (+7945),128181 (+12658),511 (-18),6 (+2),104 (-179),20.51818181818182,71.1245 - 73.9862 (0.86-0.9x)
dynamic_no_forward_4qsize,69296 (+7149),127566 (+12043),511 (-18),6 (+2),137 (-146),20.515625,60.9155 - 62.4417 (1.02-1.05x)
dynamic_8qsize,72031 (+9884),129352 (+13829),511 (-18),6 (+2),102 (-181),20.52173913043478,36.9253 - 43.2635 (1.48-1.73x)
dynamic_no_forward_8qsize,70652 (+8505),128136 (+12613),511 (-18),6 (+2),155 (-128),20.515384615384612,31.3724 - 59.5807 (1.07-2.0300000000000002x)
dynamic_16qsize,75523 (+13376),132019 (+16496),511 (-18),6 (+2),115 (-168),20.516393442622952,24.0748 - 24.9765 (2.56-2.65x)
dynamic_no_forward_16qsize,72653 (+10506),129179 (+13656),511 (-18),6 (+2),133 (-150),20.514705882352946,22.2217 - 65.0997 (0.98-2.87x)
dynamic_32qsize,82235 (+20088),146331 (+30808),517 (-12),6 (+2),263 (-20),0.0,21.5976 - 23.3231 (2.74-2.96x)
dynamic_no_forward_32qsize,76924 (+14777),131231 (+15708),511 (-18),6 (+2),127 (-156),20.51492537313433,13.4363 - 66.9833 (0.9500000000000001-4.75x)
dynamic_64qsize,96933 (+34786),168465 (+52942),528 (-1),6 (+2),243 (-40),0.0,44.4 - 44.9058 (1.42-1.44x)
dynamic_no_forward_64qsize,89950 (+27803),136049 (+20526),511 (-18),6 (+2),133 (-150),20.51315789473684,8.51901 - 65.2249 (0.98-7.49x)
